Time,Photons Emitted,Dark Molecule,Active Molecule,Triplet Molecule,Bleached Molecule
0.5,233,100,0,0,0
1.0,180,1,0,99,0
1.5,220,1,0,99,0
2.0,209,1,0,99,0
2.5,205,1,0,99,0
3.0,173,1,0,99,0
3.5,186,1,0,99,0
4.0,184,1,0,99,0
4.5,204,1,0,99,0
5.0,218,1,0,99,0
5.5,231,1,0,99,0
6.0,201,1,0,99,0
6.5,166,1,0,99,0
7.0,196,1,0,99,0
7.5,210,1,0,99,0
8.0,213,1,0,99,0
8.5,189,1,0,99,0
9.0,207,1,0,99,0
9.5,166,1,0,99,0
10.0,217,1,0,99,0
10.5,211,1,0,99,0
11.0,185,1,0,99,0
11.5,200,1,0,99,0
12.0,167,1,0,99,0
12.5,213,1,0,99,0
13.0,197,1,0,99,0
13.5,232,1,0,99,0
14.0,184,1,0,99,0
14.5,197,1,0,99,0
15.0,196,1,0,99,0
15.5,204,1,0,99,0
16.0,197,1,0,99,0
16.5,188,1,0,99,0
17.0,203,1,0,99,0
17.5,175,1,0,99,0
18.0,196,1,0,99,0
18.5,201,1,0,99,0
19.0,190,1,0,99,0
19.5,213,1,0,99,0
20.0,183,1,0,99,0
20.5,185,1,0,99,0
21.0,222,1,0,99,0
21.5,192,1,0,99,0
22.0,193,1,0,99,0
22.5,189,1,0,99,0
23.0,185,1,0,99,0
23.5,226,1,0,99,0
24.0,219,1,0,99,0
24.5,190,1,0,99,0
25.0,219,1,0,99,0
25.5,203,1,0,99,0
26.0,206,1,0,99,0
26.5,173,1,0,99,0
27.0,254,1,0,99,0
27.5,201,1,0,99,0
28.0,200,1,0,99,0
28.5,187,1,0,99,0
29.0,211,1,0,99,0
29.5,180,1,0,98,1
30.0,208,1,0,98,1
30.5,213,1,0,98,1
31.0,196,1,0,98,1
31.5,202,1,0,98,1
32.0,193,1,0,98,1
32.5,214,1,0,98,1
33.0,205,1,0,98,1
33.5,230,1,0,98,1
34.0,207,1,0,98,1
34.5,200,1,0,98,1
35.0,182,1,0,98,1
35.5,163,1,0,98,1
36.0,183,1,0,98,1
36.5,205,1,0,98,1
37.0,229,1,0,98,1
37.5,205,1,0,98,1
38.0,194,1,0,98,1
38.5,193,1,0,98,1
39.0,190,1,0,98,1
39.5,208,1,0,98,1
40.0,185,1,0,98,1
40.5,200,1,0,98,1
41.0,212,1,0,98,1
41.5,225,1,0,98,1
42.0,233,1,0,98,1
42.5,189,1,0,98,1
43.0,239,1,0,98,1
43.5,217,1,0,98,1
44.0,205,1,0,98,1
44.5,180,1,0,98,1
45.0,228,1,0,98,1
45.5,169,1,0,98,1
46.0,194,1,0,98,1
46.5,184,1,0,98,1
47.0,170,1,0,98,1
47.5,187,1,0,98,1
48.0,195,1,0,98,1
48.5,212,1,0,98,1
49.0,201,1,0,98,1
49.5,174,1,0,98,1
50.0,224,1,0,98,1
50.5,223,1,0,98,1
51.0,199,1,0,98,1
51.5,196,1,0,98,1
52.0,194,1,0,98,1
52.5,195,1,0,98,1
53.0,243,1,0,98,1
53.5,204,1,0,98,1
54.0,179,1,0,98,1
54.5,208,1,0,98,1
55.0,174,1,0,98,1
55.5,209,1,0,98,1
56.0,218,1,0,98,1
56.5,199,1,0,98,1
57.0,195,1,0,98,1
57.5,187,1,0,98,1
58.0,177,1,0,98,1
58.5,210,1,0,98,1
59.0,201,1,0,98,1
59.5,188,1,0,98,1
60.0,189,1,0,98,1
60.5,175,1,0,98,1
61.0,186,1,0,98,1
61.5,206,1,0,98,1
62.0,199,1,0,98,1
62.5,223,1,0,98,1
63.0,226,1,0,98,1
63.5,180,1,0,98,1
64.0,188,1,0,98,1
64.5,196,1,0,98,1
65.0,167,1,0,98,1
65.5,189,1,0,98,1
66.0,190,1,0,98,1
66.5,186,1,0,98,1
67.0,220,1,0,98,1
67.5,183,1,0,98,1
68.0,193,1,0,98,1
68.5,211,1,0,98,1
69.0,187,1,0,98,1
69.5,228,1,0,97,2
70.0,206,1,0,97,2
70.5,161,1,0,97,2
71.0,184,1,0,97,2
71.5,189,1,0,97,2
72.0,183,1,0,97,2
72.5,216,1,0,97,2
73.0,220,1,0,97,2
73.5,190,1,0,97,2
74.0,189,1,0,96,3
74.5,195,1,0,96,3
75.0,208,1,0,96,3
75.5,175,1,0,96,3
76.0,201,1,0,96,3
76.5,195,1,0,96,3
77.0,158,1,0,96,3
77.5,200,1,0,96,3
78.0,217,1,0,96,3
78.5,168,1,0,96,3
79.0,203,1,0,96,3
79.5,214,1,0,96,3
80.0,214,1,0,96,3
80.5,199,1,0,96,3
81.0,198,1,0,96,3
81.5,232,1,0,96,3
82.0,196,1,0,96,3
82.5,167,1,0,96,3
83.0,209,1,0,96,3
83.5,201,1,0,96,3
84.0,212,1,0,96,3
84.5,216,1,0,96,3
85.0,199,1,0,96,3
85.5,189,1,0,96,3
86.0,199,1,0,96,3
86.5,177,1,0,96,3
87.0,186,1,0,96,3
87.5,192,1,0,96,3
88.0,182,1,0,96,3
88.5,206,1,0,96,3
89.0,178,1,0,96,3
89.5,209,1,0,96,3
90.0,175,1,0,96,3
90.5,179,1,0,96,3
91.0,209,1,0,96,3
91.5,215,1,0,96,3
92.0,208,1,0,96,3
92.5,190,1,0,96,3
93.0,178,1,0,96,3
93.5,174,1,0,96,3
94.0,211,1,0,96,3
94.5,195,1,0,96,3
95.0,229,1,0,96,3
95.5,180,1,0,96,3
96.0,172,1,0,96,3
96.5,190,1,0,96,3
97.0,220,1,0,96,3
97.5,201,1,0,96,3
98.0,221,1,0,96,3
98.5,180,1,0,96,3
99.0,177,1,0,96,3
99.5,209,1,0,96,3
100.0,193,1,0,96,3
100.5,189,1,0,96,3
101.0,180,1,0,96,3
101.5,201,1,0,95,4
102.0,203,1,0,95,4
102.5,197,1,0,95,4
103.0,185,1,0,95,4
103.5,160,1,0,95,4
104.0,197,1,0,95,4
104.5,175,1,0,95,4
105.0,220,1,0,95,4
105.5,177,1,0,95,4
106.0,193,1,0,95,4
106.5,200,1,0,95,4
107.0,195,1,0,95,4
107.5,164,1,0,95,4
108.0,200,1,0,95,4
108.5,174,1,0,95,4
109.0,173,1,0,95,4
109.5,225,1,0,95,4
110.0,179,1,0,95,4
110.5,182,1,0,95,4
111.0,214,1,0,95,4
111.5,191,1,0,95,4
112.0,208,1,0,95,4
112.5,192,1,0,95,4
113.0,215,1,0,95,4
113.5,163,1,0,95,4
114.0,183,1,0,95,4
114.5,188,1,0,95,4
115.0,182,1,0,95,4
115.5,203,1,0,95,4
116.0,161,1,0,95,4
116.5,210,1,0,95,4
117.0,166,1,0,95,4
117.5,156,1,0,95,4
118.0,210,1,0,95,4
118.5,160,1,0,95,4
119.0,158,1,0,95,4
119.5,221,1,0,95,4
120.0,172,1,0,95,4
120.5,188,1,0,95,4
121.0,204,1,0,95,4
121.5,209,1,0,95,4
122.0,180,1,0,95,4
122.5,193,1,0,95,4
123.0,193,1,0,95,4
123.5,198,1,0,95,4
124.0,220,1,0,95,4
124.5,207,1,0,95,4
125.0,198,1,0,95,4
125.5,180,1,0,95,4
126.0,180,1,0,95,4
126.5,206,1,0,95,4
127.0,200,1,0,95,4
127.5,188,1,0,95,4
128.0,172,1,0,94,5
128.5,165,1,0,94,5
129.0,188,1,0,94,5
129.5,210,1,0,94,5
130.0,191,1,0,93,6
130.5,184,1,0,93,6
131.0,184,1,0,93,6
131.5,182,1,0,93,6
132.0,170,1,0,93,6
132.5,164,1,0,93,6
133.0,196,1,0,93,6
133.5,161,1,0,93,6
134.0,181,1,0,93,6
134.5,207,1,0,93,6
135.0,229,1,0,93,6
135.5,211,1,0,93,6
136.0,165,1,0,93,6
136.5,197,1,0,93,6
137.0,203,1,0,93,6
137.5,177,1,0,93,6
138.0,192,1,0,93,6
138.5,183,1,0,93,6
139.0,162,1,0,93,6
139.5,190,1,0,93,6
140.0,218,1,0,93,6
140.5,181,1,0,93,6
141.0,174,1,0,93,6
141.5,166,1,0,93,6
142.0,214,1,0,93,6
142.5,183,1,0,93,6
143.0,168,1,0,93,6
143.5,168,1,0,93,6
144.0,176,1,0,93,6
144.5,162,1,0,93,6
145.0,189,1,0,93,6
145.5,184,1,0,93,6
146.0,201,1,0,93,6
146.5,179,1,0,93,6
147.0,153,1,0,93,6
147.5,174,1,0,93,6
148.0,189,1,0,93,6
148.5,222,1,0,93,6
149.0,156,1,0,93,6
149.5,175,1,0,93,6
150.0,164,1,0,93,6
150.5,151,1,0,93,6
151.0,203,1,0,93,6
151.5,195,1,0,92,7
152.0,179,1,0,92,7
152.5,178,1,0,92,7
153.0,215,1,0,92,7
153.5,209,1,0,92,7
154.0,173,1,0,92,7
154.5,209,1,0,92,7
155.0,215,1,0,92,7
155.5,192,1,0,92,7
156.0,192,1,0,92,7
156.5,146,1,0,92,7
157.0,185,1,0,92,7
157.5,183,1,0,92,7
158.0,200,1,0,92,7
158.5,177,1,0,92,7
159.0,146,1,0,92,7
159.5,190,1,0,92,7
160.0,212,1,0,92,7
160.5,179,1,0,92,7
161.0,180,1,0,92,7
161.5,214,1,0,92,7
162.0,179,1,0,92,7
162.5,158,1,0,92,7
163.0,168,1,0,92,7
163.5,210,1,0,92,7
164.0,183,1,0,92,7
164.5,172,1,0,92,7
165.0,195,1,0,92,7
165.5,186,1,0,92,7
166.0,181,1,0,92,7
166.5,170,1,0,92,7
167.0,208,1,0,92,7
167.5,197,1,0,92,7
168.0,189,1,0,92,7
168.5,189,1,0,92,7
169.0,176,0,0,92,8
169.5,188,1,0,90,9
170.0,175,1,0,90,9
170.5,193,1,0,90,9
171.0,202,1,0,90,9
171.5,185,1,0,90,9
172.0,199,1,0,90,9
172.5,169,1,0,90,9
173.0,172,1,0,90,9
173.5,168,1,0,90,9
174.0,173,1,0,90,9
174.5,195,1,0,90,9
175.0,224,1,0,90,9
175.5,212,1,0,90,9
176.0,189,1,0,90,9
176.5,175,1,0,90,9
177.0,199,1,0,90,9
177.5,192,1,0,90,9
178.0,180,1,0,90,9
178.5,168,1,0,90,9
179.0,209,1,0,90,9
179.5,219,1,0,90,9
180.0,201,1,0,90,9
180.5,199,1,0,90,9
181.0,193,1,0,90,9
181.5,181,1,0,90,9
182.0,181,1,0,90,9
182.5,177,1,0,90,9
183.0,178,1,0,90,9
183.5,178,1,0,90,9
184.0,193,1,0,90,9
184.5,200,1,0,90,9
185.0,176,1,0,90,9
185.5,203,1,0,88,11
186.0,154,1,0,88,11
