Time,Photons Emitted pixel 0,Photons Emitted pixel 1,Photons Emitted pixel 2,Photons Emitted pixel 3,Photons Emitted pixel 4
0.5,204,279,233,258,238
1.0,225,171,180,213,185
1.5,204,150,220,166,198
2.0,232,218,209,164,161
2.5,178,202,205,245,202
3.0,172,188,173,234,207
3.5,196,218,186,199,222
4.0,159,213,184,210,195
4.5,197,187,204,196,215
5.0,196,185,218,199,192
5.5,192,198,231,203,175
6.0,210,163,201,203,203
6.5,204,180,166,191,201
7.0,185,243,196,240,219
7.5,224,187,210,192,167
8.0,210,188,213,202,228
8.5,146,171,189,238,197
9.0,199,161,207,182,230
9.5,212,197,166,204,227
10.0,192,230,217,203,182
10.5,172,192,211,214,205
11.0,200,167,185,210,217
11.5,209,189,200,197,224
12.0,189,218,167,187,206
12.5,214,191,213,172,217
13.0,208,165,197,196,203
13.5,174,165,232,200,221
14.0,170,180,184,174,193
14.5,227,167,197,183,201
15.0,198,178,196,233,212
15.5,261,185,204,205,218
16.0,206,167,197,193,214
16.5,184,205,188,212,193
17.0,231,163,203,204,177
17.5,180,204,175,192,205
18.0,182,158,196,209,203
18.5,186,175,201,185,229
19.0,207,186,190,173,202
19.5,205,208,213,195,201
20.0,197,194,183,190,192
20.5,186,213,185,190,206
21.0,199,195,222,208,197
21.5,252,191,192,209,225
22.0,184,203,193,186,222
22.5,182,180,189,214,186
23.0,205,182,185,180,205
23.5,200,203,226,195,189
24.0,183,169,219,226,209
24.5,217,200,190,201,226
25.0,168,230,219,196,213
25.5,205,195,203,221,173
26.0,196,181,206,178,220
26.5,214,195,173,186,229
27.0,225,196,254,186,216
27.5,171,193,201,172,193
28.0,195,164,200,167,209
28.5,188,166,187,202,188
29.0,197,202,211,200,217
29.5,226,180,180,193,157
30.0,201,186,208,226,209
30.5,186,164,213,207,160
31.0,199,202,196,179,170
31.5,245,182,202,214,191
32.0,190,210,193,162,202
32.5,193,190,214,207,182
33.0,218,163,205,165,228
33.5,223,193,230,224,238
34.0,177,186,207,188,184
34.5,165,211,200,224,194
35.0,222,181,182,187,184
35.5,212,221,163,229,195
36.0,205,194,183,222,184
36.5,210,209,205,215,181
37.0,175,205,229,193,169
37.5,190,190,205,200,229
38.0,172,192,194,195,184
38.5,223,155,193,198,189
39.0,212,200,190,191,168
39.5,180,179,208,200,192
40.0,191,198,185,192,177
40.5,206,209,200,207,221
41.0,212,197,212,211,198
41.5,227,177,225,189,222
42.0,183,183,233,199,191
42.5,204,180,189,216,227
43.0,211,182,239,215,218
43.5,230,156,217,198,215
44.0,219,195,205,172,170
44.5,209,166,180,219,200
45.0,158,187,228,190,189
45.5,168,160,169,166,223
46.0,214,189,194,195,187
46.5,203,163,184,202,194
47.0,223,203,170,189,208
47.5,206,224,187,200,172
48.0,220,192,195,184,168
48.5,227,175,212,204,191
49.0,177,190,201,206,203
49.5,200,200,174,197,209
50.0,190,184,224,178,190
50.5,228,183,223,222,210
51.0,192,191,199,209,196
51.5,245,209,196,179,226
52.0,214,174,194,183,180
52.5,194,160,195,181,162
53.0,190,181,243,193,225
53.5,178,205,204,183,197
54.0,192,207,179,184,188
54.5,214,197,208,193,163
55.0,217,183,174,151,178
55.5,215,199,209,179,183
56.0,190,196,218,214,228
56.5,196,175,199,183,175
57.0,248,194,195,183,197
57.5,200,181,187,182,203
58.0,203,198,177,166,206
58.5,177,204,210,179,187
59.0,212,222,201,191,218
59.5,207,169,188,190,188
60.0,208,191,189,201,186
60.5,190,170,175,203,186
61.0,207,159,186,179,178
61.5,194,166,206,205,199
62.0,214,209,199,213,186
62.5,208,168,223,171,218
63.0,200,204,226,172,212
63.5,175,175,180,212,157
64.0,208,170,188,168,185
64.5,182,203,196,195,205
65.0,178,176,167,207,189
65.5,225,173,189,201,185
66.0,186,169,190,204,192
66.5,222,165,186,189,195
67.0,173,153,220,197,185
67.5,197,179,183,202,184
68.0,185,183,193,170,178
68.5,206,192,211,199,188
69.0,203,173,187,176,183
69.5,187,156,228,205,185
70.0,213,184,206,232,174
70.5,190,173,161,185,160
71.0,181,168,184,189,188
71.5,184,200,189,204,207
72.0,231,220,183,192,231
72.5,198,206,216,188,224
73.0,185,208,220,216,182
73.5,202,196,190,213,208
74.0,203,170,189,159,183
74.5,191,184,195,191,186
75.0,167,181,208,217,185
75.5,200,217,175,201,204
76.0,154,223,201,184,163
76.5,214,176,195,200,176
77.0,202,162,158,180,187
77.5,168,156,200,208,211
78.0,218,175,217,204,181
78.5,185,156,168,178,188
79.0,182,170,203,263,218
79.5,171,181,214,216,183
80.0,236,183,214,220,182
80.5,215,213,199,191,197
81.0,158,166,198,181,203
81.5,215,156,232,192,209
82.0,204,192,196,188,218
82.5,196,157,167,208,208
83.0,171,181,209,194,181
83.5,200,185,201,184,193
84.0,205,166,212,196,164
84.5,206,189,216,205,233
85.0,161,207,199,196,197
85.5,181,186,189,195,222
86.0,242,196,199,176,154
86.5,198,183,177,230,184
87.0,213,184,186,213,207
87.5,185,187,192,186,178
88.0,192,205,182,197,174
88.5,193,205,206,175,163
89.0,183,172,178,190,223
89.5,176,186,209,215,192
90.0,167,184,175,166,187
90.5,188,180,179,193,165
91.0,170,181,209,200,197
91.5,215,200,215,227,179
92.0,209,178,208,181,191
92.5,222,168,190,208,186
93.0,217,182,178,185,188
93.5,165,170,174,192,141
94.0,191,164,211,214,175
94.5,190,215,195,201,191
95.0,170,164,229,200,192
95.5,217,210,180,204,196
96.0,189,157,172,210,166
96.5,175,178,190,174,215
97.0,205,153,220,191,172
97.5,171,161,201,184,197
98.0,206,170,221,182,179
98.5,233,187,180,225,167
99.0,223,209,177,193,197
99.5,198,154,209,185,178
100.0,198,172,193,227,193
100.5,184,168,189,185,197
101.0,201,199,180,188,188
101.5,210,173,201,201,199
102.0,192,194,203,180,181
102.5,195,183,197,196,197
103.0,182,204,185,195,188
103.5,190,151,160,173,206
104.0,200,173,197,209,204
104.5,202,179,175,197,226
105.0,191,200,220,189,194
105.5,202,174,177,233,221
106.0,173,176,193,202,196
106.5,210,181,200,180,190
107.0,172,154,195,193,194
107.5,155,177,164,220,176
108.0,231,197,200,191,202
